frame |NNN|EEEEE S|TNE TTTT VV|TNE TTTT VV|TNE TTTT VV|
-------------------------------------------------------
00000 |...|..... .|... .... ..|... .... ..|... .... ..|
00001 |...|+003E E|.n. +05D +D|t.. +7C5 +6|... +0F9 +A|
00002 |...|..... .|... -005 ..|TnE .... -6|.n. -028 ..|
00003 |...|..... .|... -005 -1|... .... ..|... -02B -1|
00004 |...|..... .|... .... -1|... .... ..|... +053 ..|
00005 |...|..... .|... .... ..|... .... ..|... -028 ..|
00006 |...|..... .|... -001 -1|... .... ..|... -02B ..|
00007 |...|..... .|... +001 ..|... .... ..|... +053 -1|
00008 |...|..... .|... .... ..|... .... ..|... -028 ..|
00009 |...|..... .|... .... ..|... .... ..|... -02B -1|
00010 |...|..... .|... .... -1|... .... ..|... +053 ..|
00011 |...|..... .|... .... ..|... .... ..|... -028 ..|
00012 |...|..... .|... -001 -1|... .... ..|... -02B ..|
00013 |...|..... .|... +017 ..|... .... ..|.N. +053 +1|
00014 |...|..... .|... .... ..|... .... ..|.n. -028 ..|
00015 |...|..... .|... .... -1|... .... ..|... -02B -1|
00016 |...|..... .|... .... ..|... .... ..|... +053 ..|
00017 |...|..... .|... .... ..|... .... ..|... -028 ..|
00018 |...|..... .|... -001 -1|... .... ..|... -02B ..|
00019 |...|..... .|... +001 ..|... .... ..|... +053 -1|
00020 |...|..... .|... .... ..|... .... ..|... -028 ..|
00021 |...|..... .|... .... ..|... .... ..|... -02B ..|
00022 |...|..... .|... .... -1|... .... ..|... +053 ..|
00023 |...|..... .|... .... ..|... .... ..|... -028 -1|
00024 |...|..... .|... -001 ..|... .... ..|... -02B ..|
00025 |+01|..... .|... -00B +3|tNe .... +6|.N. -02A +3|
00026 |...|..... .|... -005 ..|TnE .... -6|.n. -013 ..|
00027 |...|..... .|... -005 -1|... .... ..|... -016 -1|
00028 |...|..... .|... .... ..|... .... ..|... +029 ..|
00029 |...|..... .|... .... ..|... .... ..|... -013 ..|
00030 |...|..... .|... -001 -1|... .... ..|... -016 ..|
00031 |...|..... .|... +001 ..|... .... ..|... +029 -1|
00032 |...|..... .|... .... ..|... .... ..|... -013 ..|
00033 |...|..... .|... .... ..|... .... ..|... -016 ..|
00034 |...|..... .|... .... -1|... .... ..|... +029 ..|
00035 |...|..... .|... .... ..|... .... ..|... -013 -1|
00036 |...|..... .|... -001 ..|... .... ..|... -016 ..|
00037 |...|..... .|... +017 +8|tNe -749 +6|.N. +0A6 +5|
00038 |...|..... .|... .... ..|TnE .... -6|.n. -028 ..|
00039 |...|..... .|... .... -1|... .... ..|... -02B -1|
00040 |...|..... .|... .... -1|... .... ..|... +053 ..|
00041 |...|..... .|... .... ..|... .... ..|... -028 ..|
00042 |...|..... .|... -001 -1|... .... ..|... -02B ..|
00043 |...|..... .|... +001 ..|... .... ..|... +053 -1|
00044 |...|..... .|... .... ..|... .... ..|... -028 ..|
00045 |...|..... .|... .... ..|... .... ..|... -02B -1|
00046 |...|..... .|... .... -1|... .... ..|... +053 ..|
00047 |...|..... .|... .... ..|... .... ..|... -028 ..|
00048 |...|..... .|... -001 -1|... .... ..|... -02B ..|
00049 |+01|..... .|... -015 ..|tNe +749 +6|.N. +053 +1|
-------------------------------------------------------
00050 |...|..... .|... .... ..|TnE .... -6|.n. -028 ..|
00051 |...|..... .|... .... -1|... .... ..|... -02B -1|
00052 |...|..... .|... .... ..|... .... ..|... +053 ..|
00053 |...|..... .|... .... ..|... .... ..|... -028 ..|
00054 |...|..... .|... -001 -1|... .... ..|... -02B ..|
00055 |...|..... .|... +001 ..|... .... ..|... +053 -1|
00056 |...|..... .|... .... ..|... .... ..|... -028 ..|
00057 |...|..... .|... .... ..|... .... ..|... -02B ..|
00058 |...|..... .|... .... -1|... .... ..|... +053 ..|
00059 |...|..... .|... .... ..|... .... ..|... -028 -1|
00060 |...|..... .|... -001 ..|... .... ..|... -02B ..|
00061 |...|..... .|... +017 +3|... .... ..|.N. +053 +3|
00062 |...|..... .|... .... ..|... .... ..|.n. -028 ..|
00063 |...|..... .|... .... -1|... .... ..|... -02B -1|
00064 |...|..... .|... .... ..|... .... ..|... +053 ..|
00065 |...|..... .|... .... ..|... .... ..|... -028 ..|
